model_name,split,pair_key,balanced_accuracy,avg_margin,temperature,layer_source,selected_layers,left_mean_p_left,right_mean_p_left
qwen_4b,train,sad_vs_happy,1.0,0.9847344160079956,40.0,global_best_band,"21,22,23,24",0.9970219731330872,0.012287620455026627
qwen_4b,train,angry_vs_calm,1.0,0.9644404649734497,40.0,global_best_band,"21,22,23,24",0.9803900122642517,0.015949608758091927
qwen_4b,train,fear_vs_confidence,1.0,0.9698137640953064,40.0,global_best_band,"21,22,23,24",0.981763482093811,0.011949579231441021
qwen_4b,train,love_vs_hate,1.0,0.9594675302505493,40.0,global_best_band,"21,22,23,24",0.9622814059257507,0.0028139047790318727
qwen_4b,train,anxious_vs_relaxed,0.9333333333333333,0.7898783087730408,40.0,global_best_band,"21,22,23,24",0.9999634623527527,0.25622251629829407
mistral_7b,train,sad_vs_happy,0.7333333333333334,0.7170177698135376,30.0,global_best_band,"3,4,5,6",0.9964665770530701,0.5366389155387878
mistral_7b,train,angry_vs_calm,0.7,0.6088027358055115,30.0,global_best_band,"3,4,5,6",0.9827178120613098,0.5039002895355225
mistral_7b,train,fear_vs_confidence,0.8666666666666667,0.7057740688323975,30.0,global_best_band,"3,4,5,6",0.9832493662834167,0.4472734034061432
mistral_7b,train,love_vs_hate,0.9333333333333333,0.7425740957260132,30.0,global_best_band,"3,4,5,6",0.9322789907455444,0.19478054344654083
mistral_7b,train,anxious_vs_relaxed,0.9333333333333333,0.7568937540054321,30.0,global_best_band,"3,4,5,6",0.8031750321388245,0.09995786845684052
falcon_7b,train,sad_vs_happy,0.9,0.8352105617523193,40.0,global_best_band,"9,10,11,12",0.9995229840278625,0.20196767151355743
falcon_7b,train,angry_vs_calm,1.0,0.8101944327354431,40.0,global_best_band,"9,10,11,12",0.9998457431793213,0.18965131044387817
falcon_7b,train,fear_vs_confidence,1.0,0.9556246399879456,40.0,global_best_band,"9,10,11,12",0.9882228374481201,0.03259821608662605
falcon_7b,train,love_vs_hate,0.9666666666666667,0.8990362882614136,40.0,global_best_band,"9,10,11,12",0.8456221222877502,0.0015839957632124424
falcon_7b,train,anxious_vs_relaxed,0.9666666666666667,0.7617318034172058,40.0,global_best_band,"9,10,11,12",0.9973377585411072,0.24413470923900604
